trial,imgID,imgURL,mood,faceCode,faceEmotion,faceRace,faceGender
1,0028,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6xn0uCMyz5Av73D,Neutral,MWE,Excited,White,Male
2,2073,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_72FyWc9Boz3LoxL,HAP,FWN,Neutral,White,Female
3,5017,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_4HMnjzQouGMjQKp,HAN,FAN,Neutral,Asian,Female
4,0047,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_3sg3mYjca2wDfBH,Neutral,MAC,Calm,Asian,Male
5,5014,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_WBAxHSNHr9rlZAR,HAN,MWU,Negative,White,Male
6,2021,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5dKUQfFWHL6yWyh,HAP,FAE,Excited,Asian,Female
7,5005,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3PH3PvVrdAau4UB,HAN,MWN,Neutral,White,Male
8,2014,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_80xUOKcTQyU4RJb,HAP,FWC,Calm,White,Female
9,5003,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_FIObE5pqhCOX3BS,HAN,FAU,Negative,Asian,Female
10,2031,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8BKmHcZf2xB5XH7,HAP,MWC,Calm,White,Male
11,0075,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cYGcamlgshUC98x,Neutral,MAE,Excited,Asian,Male
12,2004,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_gSfNPm9XCj0CEgM,HAP,FWU,Negative,White,Female
13,0033,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6Qk2agiyrhb4lVj,Neutral,FAC,Calm,Asian,Female
14,0037,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_aMJ6b79dy1rQyOH,Neutral,MWU,Negative,White,Male
15,5020,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_1Lkx4tvwjeVJ0Hz,HAN,FWE,Excited,White,Female
16,5011,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_88kKgGcKgRXNVOJ,HAN,MAN,Neutral,Asian,Male
17,2046,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_mUhAsXA8JRMM82t,HAP,MAU,Negative,Asian,Male
18,0030,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_0TAr6wvB49roMT3,Neutral,FWN,Neutral,White,Female
19,5007,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0J5VA1Mnc14tIu9,HAN,MWE,Excited,White,Male
20,2034,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5nH2Dx21mREN2ct,HAP,MAC,Calm,Asian,Male
21,0046,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_Al9A93D2sUbqDAm,Neutral,FWU,Negative,White,Female
22,5002,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0vlX8Hxk52Le9p3,HAN,FAE,Excited,Asian,Female
23,2003,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8oaNSIGNlbPjQDH,HAP,MWN,Neutral,White,Male
24,2047,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_DcL0BCSWhGNXW5p,HAP,FAU,Negative,Asian,Female
25,0069,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_erl7ELr4TEZAwPr,Neutral,FWC,Calm,White,Female
26,5006,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_578lh3cL8WmTaM5,HAN,MAE,Excited,Asian,Male
27,0029,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cZ99A2kLGz4gk2V,Neutral,FAN,Neutral,Asian,Female
28,5025,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_74bw3P9pyRd8Xk1,HAN,MWC,Calm,White,Male
29,2024,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8uKTRqWngUENhQh,HAP,MAN,Neutral,Asian,Male
30,2022,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_80NE5jgQ0wqx4fr,HAP,FAC,Calm,Asian,Female
31,0059,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_5tmf6h0V5YPZmDj,Neutral,FWE,Excited,White,Female
32,5028,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_fpq2mloDbBJCc2Y,HAN,MAU,Negative,Asian,Male
33,2032,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_bEi2IypYSfCx4i1,HAP,MWE,Excited,White,Male
34,5027,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_cXSvfRSbqOyzmPX,HAN,FWN,Neutral,White,Female
35,5001,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9GjOYMltWRBWkXX,HAN,MAC,Calm,Asian,Male
36,2074,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_oAj9kREaRqI3pOj,HAP,FWU,Negative,White,Female
37,0071,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_879b57PAAdZ54X3,Neutral,FAE,Excited,Asian,Female
38,0066,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_6tbKBShVoWrU68J,Neutral,MWN,Neutral,White,Male
39,5022,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_0U5Vq4DKf1lSQUl,HAN,FWC,Calm,White,Female
40,2086,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_9LUNXN54QrQIyjj,HAP,MAE,Excited,Asian,Male
41,2066,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_8weXWXnsMLOZGi9,HAP,FAN,Neutral,Asian,Female
42,0017,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_9H4QnBm6RFfo48l,Neutral,MWC,Calm,White,Male
43,5009,https://stanforduniversity.ca1.qualtrics.com/ControlPanel/Graphic.php?IM=IM_3Jfv0ERUqYorifz,HAN,FAC,Calm,Asian,Female
44,0067,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_GJMwK4jXCjmzMaw,Neutral,FAU,Negative,Asian,Female
45,5008,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_KhBkVCZblRflLIp,HAN,MWU,Negative,White,Male
46,0062,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_cPbt9kbMKbTueLH,Neutral,MAN,Neutral,Asian,Male
47,2005,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_40XFAlDXYQ5qhHT,HAP,FWE,Excited,White,Female
48,0068,https://stanforduniversity.qualtrics.com/CP/Graphic.php?IM=IM_2BTNIKPHB4kTusN,Neutral,MAU,Negative,Asian,Male
